Transect	ID	mean_finalFreeze	mean_cGDDfreeze	med_DD0
Chilcotin	201	157.975	889.825	111.5
Chilcotin	202	157.975	889.825	111.5
Chilcotin	204	171.25	1033.3875	137
Chilcotin	205	171.25	1033.3875	137
Chilcotin	206	170.025	1019.2875	133.5
Chilcotin	207	152.125	843.46875	118.5
Chilcotin	208	152.125	843.9375	118.5
Chilcotin	209	152.125	843.9375	118.5
Chilcotin	210	145.4	797.69375	111.5
Chilcotin	211	147.2	811.7875	112.5
Chilcotin	212	139.25	758.6125	102
Chilcotin	213	139.25	758.6125	102
Chilcotin	214	140.05	692.45625	110.5
Chilcotin	215	136.425	685.30625	104.5
Chilcotin	216	131.825	684.25	88.5
Chilcotin	217	131.825	684.25	88.5
Chilcotin	218	131.825	684.25	88.5
Chilcotin	219	135.175	672.98125	100.5
Chilcotin	220	135.175	672.98125	100.5
Chilcotin	221	134.95	682.8125	96.5
Chilcotin	222	137.075	679.9125	102.5
Chilcotin	223	137.075	679.9125	102.5
Chilcotin	224	135.725	681.58125	101
Chilcotin	225	135.725	681.58125	101
Chilcotin	227	136.875	671.95625	96.5
Chilcotin	228	136.875	671.95625	96.5
Chilcotin	229	140.3	636.60625	111.5
Chilcotin	230	140.3	636.60625	111.5
Chilcotin	231	140.3	636.60625	111.5
Chilcotin	232	138.8	631.4875	105
Chilcotin	233	138.8	631.4875	105
Chilcotin	234	138.8	635.1125	105
Chilcotin	235	138.625	623.35625	105.5
Chilcotin	236	138.625	623.35625	105.5
Chilcotin	237	137.4	609.5	104
Chilcotin	238	137.4	609.5	104
Chilcotin	240	138.625	591.575	110.5
Chilcotin	241	138.625	591.575	110.5
Chilcotin	243	138.525	596.03125	109.5
Chilcotin	244	139.225	564.8625	119
Chilcotin	245	139.225	564.8625	119
Chilcotin	246	139.225	564.8625	119
Chilcotin	247	142.325	543.33125	130.5
Chilcotin	248	142.325	543.33125	130.5
Chilcotin	249	142.55	540.25	130.5
Chilcotin	250	140.85	537.5625	129
Chilcotin	251	145.375	516.86875	139
Chilcotin	254	143.95	511.7375	139
Chilcotin	255	143.95	511.7375	139
