P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
davidiana	alba	deltoides	0.0317115	1.96655	0.0492354	0.0531484	75345.5	61384	57610.5
davidiana	alba	euphratica	0.00433796	0.277816	0.781153	0.00686047	108294	95416.4	94592.1
davidiana	alba	ilicifolia	0.00572629	0.353367	0.723813	0.00897492	101477	89199.8	88184
alba	davidiana	simonii	0.0009765	0.0917433	0.926902	0.00161582	90112.1	70088.9	69952.1
davidiana	alba	tomentosa	0.0286586	1.4748	0.140267	0.0409567	30038.8	25107.5	23708.5
alba	davidiana	trichocarpa	0.00691331	0.579089	0.562529	0.00799393	163112	127297	125549
alba	euphratica	deltoides	0.0119977	0.96529	0.3344	0.0227592	58796.9	57884.9	56512.4
ilicifolia	alba	deltoides	0.0273517	1.73055	0.0835317	0.0508771	57396.1	57176.9	54132.4
alba	deltoides	simonii	0.00780791	0.399466	0.68955	0.0135039	59651.9	56793.1	55913.1
alba	tomentosa	deltoides	0.00448845	0.143926	0.885559	0.00728945	17513.6	15609.6	15470.1
deltoides	alba	trichocarpa	0.00846029	0.507496	0.611807	0.0116158	84208	78567.2	77249
ilicifolia	euphratica	alba	0.00452264	0.3342	0.738229	0.00756277	101277	88927.2	88126.5
euphratica	alba	simonii	0.0146299	1.45225	0.146432	0.0249576	76493.2	69595.8	67588.8
alba	tomentosa	euphratica	0.0258661	1.12874	0.259008	0.035388	27177.5	24426	23194.2
alba	euphratica	trichocarpa	0.0201362	1.5556	0.119804	0.0238955	143209	125762	120797
alba	ilicifolia	simonii	0.0182059	1.07593	0.281958	0.0323402	70965.5	67406.2	64995.8
alba	tomentosa	ilicifolia	0.0100264	0.180273	0.856938	0.013651	24982.8	22930.2	22475
alba	ilicifolia	trichocarpa	0.0148503	0.854876	0.39262	0.0172549	136519	118807	115330
alba	tomentosa	simonii	0.0323379	0.643895	0.519644	0.0541492	16607.5	15646.5	14666.2
alba	simonii	trichocarpa	0.0125705	0.459735	0.645707	0.0172158	102525	98967.6	96510.4
alba	tomentosa	trichocarpa	0.0163217	0.687715	0.491632	0.0196451	35624.2	31406.5	30397.8
deltoides	euphratica	davidiana	0.0352389	1.79604	0.0724874	0.0564436	61556.1	60191.4	56093.6
davidiana	ilicifolia	deltoides	0.0101912	0.563128	0.573347	0.0189193	60087	56550.2	55409.2
simonii	deltoides	davidiana	0.00781976	0.522226	0.601513	0.0118596	58673.2	58173.8	57271
tomentosa	davidiana	deltoides	0.00460286	0.127654	0.898423	0.00773007	17977.1	15850.9	15705.6
trichocarpa	davidiana	deltoides	0.0206545	1.02605	0.304869	0.0441605	81994.9	81943.4	78626.9
ilicifolia	euphratica	davidiana	0.0048695	0.377779	0.705595	0.0081371	103265	89766.6	88896.6
euphratica	davidiana	simonii	0.0131507	1.55174	0.120724	0.0231559	75862.9	71051.4	69206.9
euphratica	davidiana	tomentosa	0.0245935	0.92506	0.354935	0.0379244	26587.9	25866.4	24624.6
davidiana	euphratica	trichocarpa	0.0118873	1.46115	0.143973	0.014489	141826	125483	122535
davidiana	ilicifolia	simonii	0.0205029	1.43712	0.150683	0.0365875	71423.2	68177.5	65438
davidiana	tomentosa	ilicifolia	0.0122472	0.50259	0.615253	0.0177936	25333.8	24692	24094.5
davidiana	ilicifolia	trichocarpa	0.00806234	0.694933	0.487097	0.00960531	135428	118954	117051
davidiana	tomentosa	simonii	0.00504525	0.101055	0.919507	0.00882922	16930.1	15214.4	15061.6
davidiana	simonii	trichocarpa	0.00815723	0.295875	0.767326	0.0112836	101801	97976.5	96391
tomentosa	davidiana	trichocarpa	0.0296965	1.22231	0.221589	0.0392003	34800.5	33967.5	32008.2
ilicifolia	euphratica	deltoides	0.037405	2.49689	0.0125287	0.065307	64095.2	53118.2	49287.8
euphratica	deltoides	simonii	0.0292665	1.39686	0.162455	0.0478498	57226.8	52968.5	49956.2
euphratica	deltoides	tomentosa	0.00499873	0.161444	0.871744	0.00918022	15626.1	14324.9	14182.4
deltoides	euphratica	trichocarpa	0.0297118	1.55305	0.120411	0.0401911	77774	73034.5	68819.8
deltoides	ilicifolia	simonii	0.00793557	0.273841	0.784207	0.0143313	52310	52028.5	51209.2
ilicifolia	deltoides	tomentosa	0.0087748	0.14231	0.886835	0.0173664	15155.5	14657.8	14402.8
trichocarpa	ilicifolia	deltoides	0.0336257	1.41104	0.158233	0.0702412	75208.8	70965.2	66348
deltoides	simonii	tomentosa	0.0228056	0.48115	0.63041	0.0362151	14936.4	13174.4	12586.9
deltoides	simonii	trichocarpa	0.0295667	1.23719	0.216016	0.0394593	74986.5	74692.8	70402.8
trichocarpa	deltoides	tomentosa	0.0424181	1.52923	0.126208	0.08271	19986.8	19666	18065.5
euphratica	ilicifolia	simonii	0.0381276	2.21778	0.0265699	0.0622109	79964.8	64230.2	59512.2
euphratica	ilicifolia	tomentosa	0.0108574	0.199087	0.842195	0.0157349	29430.1	22752.1	22263.4
ilicifolia	euphratica	trichocarpa	0.00213532	0.163847	0.869852	0.00245538	143217	112635	112155
euphratica	simonii	tomentosa	0.0258362	0.49749	0.618843	0.0461177	14632.1	14403.1	13677.6
euphratica	simonii	trichocarpa	0.00463861	0.147657	0.882613	0.00644755	94405.5	92507.5	91653.2
trichocarpa	euphratica	tomentosa	0.0175941	1.11794	0.263592	0.0309405	34077.8	30104.2	29063.2
simonii	tomentosa	ilicifolia	0.00532157	0.100704	0.919786	0.00632014	14998.5	14097.8	13948.5
simonii	ilicifolia	trichocarpa	0.0112328	0.336573	0.736439	0.0154175	92169.2	88089.5	86132.5
trichocarpa	ilicifolia	tomentosa	0.0251359	0.482155	0.629696	0.0443289	32840.9	29420.4	27977.6
tomentosa	simonii	trichocarpa	0.00929395	0.416056	0.677369	0.0106292	20223.5	18013.5	17681.8
