0.0429307,0.0286334,-0.00776079,-0.00729412,0.0684902,-0.0300995,0.0271493,0.00535881,0.00628199,0.0124043,-0.0139943,0.0274458,0.00573423,-0.182555,0.0744056,0.0524236,0.00313725,-0.0685761,-0.0229086,0.0776314	-0.2197,-0.265831,-0.247273,-0.271833,-0.189114,-0.202984,-0.262645,-0.317247,-0.302532,-0.369805,-0.334561,-0.227878,-0.19465,-0.280512,-0.207878,0.0352423,-0.314025,-0.226441,-0.305271,0.0510994	0.260177,0.29224,0.239972,0.265064,0.25431,0.173948,0.287743,0.322058,0.308228,0.380464,0.322074,0.253736,0.20016,0.103244,0.277984,0.0172131,0.31685,0.160355,0.284351,0.0266376
0.0469799,0.0226989,0.000215796,0.00543232,0.0273973,-0.0378251,0.0628629,-0.0200698,0.00462453,0.019388,0.00672305,0.00197672,0.0300683,0.00475543,0.191722,0.0253654,0.0630358,0.0301873,-0.00947758,-0.0445129	-0.182006,-0.308212,-0.253142,-0.257191,-0.201997,-0.163178,-0.237979,-0.35339,-0.285848,-0.257444,-0.258111,-0.229262,-0.0769545,-0.116487,0.0537348,0.127127,-0.111486,-0.035252,-0.225696,0.000293083	0.227045,0.328612,0.253344,0.262257,0.228132,0.126131,0.296408,0.335701,0.29009,0.275457,0.264375,0.231134,0.106776,0.121176,0.139423,-0.10209,0.173304,0.0653698,0.216682,-0.0448054
0.0220898,0.022907,-0.0235421,-0.0599362,0.00343365,-0.0633397,0.0296931,-0.0320197,-0.0240447,0.0487746,0.003772,-0.0320107,-0.0423632,-0.027937,0.133581,0.299852,0.0286419,0.0709677,0.0866507,-0.112798	-0.213968,-0.316353,-0.258123,-0.303445,-0.240715,-0.140088,-0.300054,-0.360976,-0.320884,-0.296206,-0.280565,-0.232873,-0.128608,-0.0089465,-0.0882298,0.312098,-0.116919,-0.0462994,0.12672,-0.0467682	0.234947,0.336819,0.236015,0.248019,0.243947,0.0774355,0.326835,0.332803,0.299148,0.340067,0.284036,0.20237,0.0867177,-0.0189952,0.219227,-0.0135106,0.145075,0.116883,-0.040514,-0.0663803
0.0566941,0.075909,-0.0317424,-0.004884,0.00502398,-0.0183631,0.0336042,0.0433547,-0.0142586,-0.00694235,0.00025227,0.0028436,0.0321476,0.0282177,-0.0541996,-0.0981084,0.111111,0.00822229,0.0440268,0.100902	-0.180603,-0.22464,-0.240182,-0.275169,-0.231266,-0.218626,-0.309059,-0.284484,-0.293957,-0.393548,-0.35831,-0.252957,-0.110379,-0.122173,-0.313087,-0.087577,-0.188892,-0.178183,-0.283062,-0.0162883	0.234892,0.29551,0.210041,0.270649,0.236016,0.20107,0.339141,0.323845,0.280876,0.387665,0.35853,0.255616,0.142023,0.149874,0.263356,-0.0106226,0.293836,0.186133,0.323063,0.116998
0.0397856,0.0563287,-0.0504732,-0.0284257,0.0108833,0.00827713,0.0502914,0.0567831,-0.034734,0.0217044,-0.0562905,0.0130536,0.00156576,-0.0434992,0.0350722,0.107473,0.0399037,0.00782304,-0.071702,0.11816	-0.20928,-0.181445,-0.217335,-0.140739,-0.241981,-0.232618,-0.210065,-0.252814,-0.266384,-0.286606,-0.262667,-0.177517,-0.0720503,-0.145739,-0.23235,0.0878959,-0.295009,-0.136784,-0.307048,-0.0241217	0.247009,0.235368,0.168712,0.112765,0.252201,0.240432,0.257635,0.305215,0.233813,0.306404,0.209474,0.19013,0.0736077,0.102893,0.26526,0.0197639,0.331016,0.144452,0.240644,0.141877
0.00666342,0.0300862,-0.0151485,-0.0383296,0.0337367,-0.0295605,0.019305,-0.0111456,-0.0319256,0.0733796,0.0309976,-0.0645468,-0.0412603,-0.0235714,0.214804,0.260663,0.0417784,0.0826602,0.0447242,-0.0628638	-0.203651,-0.277999,-0.252724,-0.306416,-0.205132,-0.164434,-0.331899,-0.28752,-0.336151,-0.347545,-0.227042,-0.267045,-0.116488,-0.036306,0.00394135,0.282543,-0.19017,-0.0225577,-0.0109769,-0.00124069	0.21003,0.30553,0.238489,0.271273,0.237227,0.135532,0.348968,0.277263,0.307525,0.410457,0.256236,0.206049,0.0755911,0.0127454,0.211041,-0.0236203,0.23012,0.105022,0.0556738,-0.0616279
-0.0206291,0.0582002,0.0982456,-0.0137504,0.00212836,-0.00505324,0.0522573,0.0096715,-0.00754593,0.0148924,-0.0372016,-0.0546204,0.0529507,0.000950119,0.0412979,-0.0483619,-0.173526,-0.173797,0.0334512,-0.0600299	0.00570913,-0.0118151,0.067928,-0.0167923,0.020677,0.0273947,0.0287183,-0.0437461,0.00165563,0.132072,0.0279438,-0.0333685,0.168423,-0.026565,0.157377,0.088314,-0.0700876,-0.1,0.149425,0.0125786	-0.0263351,0.0699672,0.0305213,0.0030426,-0.0185495,-0.0324435,0.0235744,0.053395,-0.00920145,-0.117411,-0.0650778,-0.0212908,-0.116512,0.0275145,-0.116838,-0.136095,-0.104712,-0.075102,-0.116557,-0.0725538
-0.0147933,0.0510204,0.00591516,-0.0533101,0.0195774,0.00974026,0.070891,0.00398597,-0.0170192,0.0547103,0.0210559,-0.0165523,0.0259371,-0.17144,0.115666,0.0543478,-0.32244,-0.0150342,-0.301186,-0.0994206	-0.00745178,-0.039317,-0.005846,-0.0516579,0.00137342,0.081175,-0.00960468,-0.0673874,-0.0373832,0.101782,0.0448625,0.00258437,0.11493,-0.0613113,0.166164,0.0817844,-0.273364,0.00628345,0.0239295,-0.00236486	-0.00734236,0.0901565,0.0117608,-0.00165673,0.0182044,-0.0714913,0.0804409,0.0713542,0.0203769,-0.0473353,-0.0238291,-0.0191359,-0.089259,-0.111298,-0.0514874,-0.0275591,-0.0538194,-0.0213156,-0.322789,-0.0970785
-0.0146946,0.0894584,0.117007,-0.0102669,0.0448228,0.0320457,0.0944056,0.0580927,0.0343146,0.0210661,0.109421,0.000747664,0.0474188,-0.0897748,0.104401,0.114265,0.102899,0.240014,0.127361,0.394556	0.0248368,0.0940434,0.158377,-0.0071161,0.0687755,0.0087964,0.0206522,0.0757872,0.0786558,0.0570833,0.073227,0.00999811,0.152403,-0.118739,0.171553,0.156465,0.199378,0.215732,0.0647482,0.272922	-0.039517,-0.00462387,-0.0421517,-0.00315107,-0.0240268,0.0232558,0.0738975,-0.0177727,-0.0444612,-0.0360605,0.0364862,-0.00925052,-0.105748,0.0292762,-0.0683761,-0.0429688,-0.0985,0.0256076,0.0631338,0.136313
-0.0708442,-0.0846856,-0.214712,-0.216382,-0.0861644,-0.105369,-0.0464315,-0.122601,-0.182309,-0.305845,-0.196536,-0.120109,-0.0834101,-0.10293,0.155109,0.10908,-0.0408163,0.0254714,0.0137628,0.391777	-0.0335262,0.00613155,-0.111761,-0.036318,-0.0580986,-0.138231,0.00241463,-0.0759731,-0.0826597,-0.14745,-0.0277962,-0.032032,0.0910587,-0.105437,0.17987,0.105995,-0.107698,0.0678608,0.0931481,0.238305	-0.0374069,-0.09077,-0.105482,-0.18149,-0.028207,0.033348,-0.0488407,-0.0470666,-0.101174,-0.165876,-0.169667,-0.0884173,-0.173154,0.00253456,-0.0254707,0.00312067,0.0671766,-0.0424628,-0.0794872,0.169276
