P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
alba	davidiana	deltoides	0.00914218	0.711714	0.476642	0.0139263	17176.1	10624.4	10431.9
alba	davidiana	euphratica	0.0214338	1.95437	0.0506577	0.0284269	17593.9	12283.1	11767.6
alba	davidiana	ilicifolia	0.0198753	1.01405	0.31056	0.025764	18803.8	13437.8	12914
alba	davidiana	simonii	0.0190116	1.69795	0.0895179	0.0300244	16378.6	10150.4	9771.62
alba	davidiana	tomentosa	0.0164616	1.42762	0.1534	0.029636	15024.6	10172.9	9843.38
alba	davidiana	trichocarpa	0.0253672	1.35077	0.17677	0.030291	19811.2	13920	13231.2
deltoides	alba	euphratica	0.00649257	0.420974	0.673774	0.00981164	13092.1	14010.1	13829.4
deltoides	alba	ilicifolia	0.0245111	0.956226	0.338958	0.0353461	14370.4	15224.9	14496.4
deltoides	simonii	alba	0.0062288	0.475013	0.634778	0.00838731	12915.2	11086	10948.8
tomentosa	alba	deltoides	0.00925103	0.387314	0.698523	0.014584	12772.6	11209.6	11004.1
deltoides	trichocarpa	alba	0.00536007	0.290421	0.771494	0.0101712	15638.2	15403.8	15239.5
ilicifolia	euphratica	alba	0.00231642	0.126406	0.899411	0.00412331	19921.5	13738.2	13674.8
simonii	alba	euphratica	0.0299421	1.7635	0.0778166	0.0413731	12729	13509.8	12724.2
tomentosa	alba	euphratica	0.0540864	3.33524	0.000852249	0.0675931	13644.1	12999.1	11665.1
alba	trichocarpa	euphratica	0.0588006	3.61689	0.000298163	0.110775	15573	18366.8	16326.8
simonii	alba	ilicifolia	0.0591979	2.53663	0.0111926	0.0758107	14138	14855.2	13194.8
tomentosa	alba	ilicifolia	0.0505259	2.23419	0.0254705	0.0628678	14730	14021.5	12672.8
alba	trichocarpa	ilicifolia	0.130519	6.13435	8.55067e-10	0.245639	15762.5	21392.2	16452.8
alba	tomentosa	simonii	0.000935576	0.0284841	0.977276	0.00157073	11970.9	10564.9	10545.1
simonii	trichocarpa	alba	0.000880339	0.040662	0.967565	0.00164777	13815	15348.5	15321.5
tomentosa	alba	trichocarpa	0.0509329	2.62235	0.00873251	0.0579936	15881	14482.2	13078.5
deltoides	davidiana	euphratica	0.0246338	1.39975	0.161589	0.0377044	13239.1	14480.1	13783.9
deltoides	davidiana	ilicifolia	0.0412623	1.4169	0.156511	0.0592725	14614.6	15800.4	14548.1
deltoides	simonii	davidiana	0.01434	0.698729	0.484721	0.0188437	12891.9	11441.4	11117.9
tomentosa	davidiana	deltoides	0.0177344	0.812883	0.416285	0.0288025	13120.1	11420.1	11022.1
deltoides	trichocarpa	davidiana	0.020934	0.756049	0.44962	0.0372858	15651.8	16106	15445.5
ilicifolia	euphratica	davidiana	0.00194748	0.0763667	0.939127	0.0034192	19880.4	14212.6	14157.4
simonii	davidiana	euphratica	0.0489687	2.3983	0.0164715	0.0685756	13017	13934.5	12633.5
tomentosa	davidiana	euphratica	0.0737698	4.46059	8.17353e-06	0.0939178	13919.4	13460.4	11610.9
davidiana	trichocarpa	euphratica	0.043617	3.04694	0.00231184	0.0856557	16133.2	18238.2	16713.8
simonii	davidiana	ilicifolia	0.0765893	2.5852	0.00973239	0.1005	14489.4	15351.6	13167.4
tomentosa	davidiana	ilicifolia	0.0689496	2.95089	0.00316863	0.0860771	15029.2	14515	12642.5
davidiana	trichocarpa	ilicifolia	0.115605	7.28215	3.28545e-13	0.221269	16365.4	21306.4	16890.6
tomentosa	davidiana	simonii	0.016755	0.522326	0.601443	0.0282083	12269.2	10892.8	10533.8
simonii	trichocarpa	davidiana	0.0106804	0.368526	0.712481	0.0195207	13722.8	15945	15608
tomentosa	davidiana	trichocarpa	0.0744768	4.92016	8.64745e-07	0.0868789	16133.8	15094.2	13001.8
ilicifolia	euphratica	deltoides	0.0236932	1.57703	0.114788	0.0442078	19568.9	13204.9	12593.6
simonii	deltoides	euphratica	0.0255898	1.74892	0.0803049	0.0316528	13347.9	12118.6	11513.9
tomentosa	deltoides	euphratica	0.0458266	3.16836	0.00153299	0.0587292	12216.6	13159.4	12006.1
deltoides	trichocarpa	euphratica	0.0668976	3.55092	0.000383888	0.120441	15149.2	17708.5	15487.8
simonii	deltoides	ilicifolia	0.0373353	2.49591	0.0125636	0.0426345	14788	12947.5	12015.5
tomentosa	deltoides	ilicifolia	0.0232971	1.22932	0.21895	0.0287362	13290.4	13621.9	13001.6
deltoides	trichocarpa	ilicifolia	0.157362	6.2846	3.28706e-10	0.272094	15448.1	20843.4	15175.4
deltoides	simonii	tomentosa	0.0179682	0.950678	0.341768	0.028285	12078	10268.5	9906
trichocarpa	deltoides	simonii	0.118948	5.39777	6.74744e-08	0.236742	14122	15689.8	12354
trichocarpa	deltoides	tomentosa	0.0375096	1.61234	0.106887	0.0750894	14904.4	14300.1	13266.1
ilicifolia	euphratica	simonii	0.0388054	2.01208	0.0442114	0.0693272	19530.4	12561.6	11623.1
ilicifolia	euphratica	tomentosa	0.00326842	0.231702	0.81677	0.00596156	19527	12009.8	11931.5
