branch  branch_descendants      Outgroup        tomentosa       euphratica      ilicifolia      simonii davidiana       alba    trichocarpa     deltoides
b2      euphratica,ilicifolia,davidiana,alba,simonii,trichocarpa,deltoides      nan     nan     nan     nan     nan     nan     nan     nan     nan
b3      tomentosa       nan     nan     nan     nan     nan     nan     nan     nan     nan
b4      davidiana,alba,simonii,trichocarpa,deltoides    nan     0       nan     nan     nan     nan     nan     nan     nan
b5      euphratica,ilicifolia   nan     0       nan     nan     nan     nan     nan     nan     nan
b6      simonii,trichocarpa,deltoides   nan     0       0       0       nan     nan     nan     nan     nan
b7      davidiana,alba  nan     0       0       0       nan     nan     nan     nan     nan
b8      euphratica      nan     0       nan     nan     0       0       0       0       0
b9      ilicifolia      nan     0       nan     nan     0       0       0       0.142543        0
b10     trichocarpa,deltoides   nan     0       0       0       nan     0       0       nan     nan
b11     simonii nan     0       0       0       nan     0       0       nan     nan
b12     davidiana       nan     0       0       0       0       nan     nan     0       0
b13     alba    nan     0       0       0       0       nan     nan     0       0
b14     trichocarpa     nan     0       0.120441        0.272094        0       0       0       nan     nan
b15     deltoides       nan     0       0       0       0.236742        0       0       nan     nan
